dates tide
1942.87337 -0.9347734
1942.87611 -7.282313
1942.87885 -15.57042
1942.88159 -23.906049999999997
1942.88433 -30.48454
1942.88706 -33.96935
1942.8898 -33.72753
1942.89254 -29.81145
1942.89528 -22.744629999999997
1942.89802 -13.312230000000001
1942.90075 -2.492099
1942.90349 8.543505
1942.90623 18.526030000000002
1942.90897 26.32297
1942.9117 31.13355
1942.91444 32.47996
1942.91718 30.08087
1942.91992 23.9066
1942.92266 14.57311
1942.92539 3.790699
1942.92813 -5.708627
1942.93087 -11.08654
1942.93361 -10.790370000000001
1942.93634 -5.52489
1942.93908 1.9365569999999999
1942.94182 8.063081
1942.94456 10.188369999999999
1942.9473 7.4918119999999995
1942.95003 0.9357821000000001
1942.95277 -7.5205210000000005
1942.95551 -15.79108
1942.95825 -22.191399999999998
1942.96099 -25.608449999999998
1942.96372 -25.5037
1942.96646 -21.87203
1942.9692 -15.150319999999999
1942.97194 -6.0687750000000005
1942.97467 4.480815
1942.97741 15.48954
1942.98015 25.83805
1942.98289 34.393209999999996
1942.98563 40.22784
1942.98836 42.8214
1942.9911 42.07674
1942.99384 38.1907
1942.99658 31.622600000000002
1943.0 23.32121
1943.00274 15.001900000000001
1943.00548 8.992118
1943.00821 7.369962999999999
1943.01095 10.74564
1943.01369 17.53419
1943.01643 24.4078
1943.01916 27.823130000000003
1943.0219 25.72106
1943.02464 18.36492
1943.02738 7.922020000000001
1943.03012 -2.750437
1943.03285 -11.26294
1943.03559 -16.22724
1943.03833 -17.183030000000002
1943.04107 -14.28895
1943.04381 -8.082840000000001
1943.04654 0.6407246
1943.04928 10.92149
1943.05202 21.72476
1943.05476 31.99428
1943.05749 40.67349
1943.06023 46.78564
1943.06297 49.62968
1943.06571 49.00043
1943.06845 45.2617
1943.07118 39.2233
1943.07392 31.974220000000003
1943.07666 24.8444
1943.0794 19.42697
1943.08214 17.352619999999998
1943.08487 19.61385
1943.08761 25.70739
