dates values
1999.71184 0
1999.71458 0
1999.71732 0
1999.72005 0
1999.72279 0
1999.72553 0
1999.72827 0
1999.73101 0
1999.73374 0
1999.73648 0
1999.73922 0
1999.74196 0
1999.7447 0
1999.74743 0
1999.75017 0
1999.75291 0
1999.75565 0
1999.75838 0
1999.76112 0
1999.76386 0
1999.7666 0
1999.76934 0
1999.77207 0
1999.77481 0
1999.77755 0
1999.78029 0
1999.78303 0
1999.78576 0
1999.7885 0
1999.79124 0
1999.79398 0
1999.79671 0
1999.79945 0
1999.80219 1
1999.80493 0
1999.80767 0
1999.8104 0
1999.81314 0
1999.81588 0
1999.81862 0
1999.82136 0
1999.82409 0
1999.82683 1
1999.82957 0
1999.83231 0
1999.83504 0
1999.83778 0
1999.84052 0
1999.84326 0
1999.846 0
1999.84873 0
1999.85147 0
1999.85421 0
1999.85695 0
1999.85969 0
1999.86242 0
1999.86516 0
1999.8679 0
1999.87064 0
1999.87337 0
1999.87611 0
1999.87885 0
1999.88159 0
1999.88433 0
1999.88706 0
1999.8898 0
1999.89254 0
1999.89528 0
1999.89802 0
1999.90075 0
1999.90349 0
1999.90623 0
1999.90897 0
1999.9117 0
1999.91444 0
1999.91718 0
1999.91992 0
1999.92266 0
1999.92539 0
1999.92813 0
1999.93087 0
1999.93361 0
1999.93634 0
1999.93908 0
1999.94182 0
1999.94456 0
1999.9473 0
1999.95003 0
1999.95277 0
1999.95551 0
1999.95825 0
1999.96099 0
1999.96372 0
1999.96646 0
1999.9692 0
1999.97194 0
1999.97467 0
1999.97741 0
1999.98015 0
1999.98289 0
1999.98563 0
1999.98836 0
1999.9911 0
1999.99384 0
1999.99658 0
2000.0 0
2000.00273 0
2000.00546 0
2000.00819 0
2000.01092 0
2000.01365 0
2000.01638 1
2000.01911 0
2000.02184 0
2000.02457 0
2000.0273 0
2000.03003 0
2000.03276 0
2000.03549 0
2000.03823 0
2000.04096 0
2000.04369 0
2000.04642 0
2000.04915 0
2000.05188 0
2000.05461 0
2000.05734 0
2000.06007 0
2000.0628 0
2000.06553 0
2000.06826 0
2000.07099 0
2000.07372 0
2000.07645 0
2000.07918 0
2000.08191 0
2000.08464 0
2000.08737 0
2000.0901 0
2000.09283 0
2000.09556 0
2000.09829 0
2000.10102 0
2000.10375 0
2000.10648 0
2000.10922 0
2000.11195 0
2000.11468 0
2000.11741 0
2000.12014 0
2000.12287 0
2000.1256 0
2000.12833 0
2000.13106 0
2000.13379 0
2000.13652 0
2000.13925 0
2000.14198 0
2000.14471 0
2000.14744 0
2000.15017 0
2000.1529 0
2000.15563 0
2000.15836 0
2000.16109 0
2000.16382 0
2000.16655 0
2000.16928 0
2000.17201 0
2000.17474 0
2000.17747 0
2000.1802 0
2000.18294 0
2000.18567 0
2000.1884 0
2000.19113 0
2000.19386 0
2000.19659 0
2000.19932 0
2000.20205 0
2000.20478 0
2000.20751 0
2000.21024 0
2000.21297 0
2000.2157 0
2000.21843 0
